Price,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power,Clock,Series
369.99,1920.0,0,6.0,6.0,192.0,190.0,1830.0,3.0
399.99,2304.0,0,8.0,6.0,256.0,120.0,1620.0,3.0
249.99,1408.0,0,6.0,6.0,192.0,125.0,1815.0,2.0
739.99,3072.0,0,8.0,6.0,256.0,250.0,1815.0,3.0
581.49,2560.0,0,8.0,6.0,256.0,235.0,1770.0,3.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1710.0,3.0
534.99,2560.0,0,8.0,6.0,256.0,215.0,1770.0,3.0
289.99,1536.0,0,6.0,6.0,192.0,120.0,1800.0,2.0
159.45,768.0,0,4.0,5.0,128.0,75.0,1493.0,2.0
229.99,1408.0,0,6.0,6.0,192.0,125.0,1845.0,2.0
239.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
299.99,1536.0,0,6.0,6.0,192.0,130.0,1875.0,2.0
895.12,2560.0,0,8.0,6.0,256.0,215.0,1830.0,3.0
399.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
409.99,2176.0,0,8.0,6.0,256.0,215.0,1725.0,3.0
344.99,1920.0,0,6.0,6.0,192.0,190.0,1680.0,3.0
949.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1680.0,3.0
229.99,1408.0,0,6.0,5.0,192.0,120.0,1785.0,2.0
419.99,2176.0,0,8.0,6.0,256.0,175.0,1680.0,3.0
329.99,1920.0,0,6.0,6.0,192.0,190.0,1755.0,3.0
569.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
660.0,2560.0,0,8.0,6.0,256.0,215.0,1815.0,3.0
559.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
852.03,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
117999.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
187.49,1280.0,0,4.0,6.0,128.0,100.0,1740.0,2.0
599.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
879.99,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
369.99,1920.0,0,6.0,6.0,192.0,160.0,1680.0,3.0
219.95,1408.0,0,6.0,5.0,192.0,130.0,1830.0,2.0
239.99,1408.0,0,6.0,6.0,192.0,125.0,1860.0,2.0
329.99,1920.0,0,6.0,6.0,192.0,190.0,1785.0,3.0
824.22,3072.0,0,8.0,6.0,256.0,650.0,1860.0,3.0
269.98,1408.0,0,6.0,6.0,192.0,125.0,1845.0,2.0
169.99,1280.0,0,4.0,6.0,128.0,100.0,1800.0,2.0
429.99,2304.0,0,8.0,6.0,256.0,225.0,1680.0,3.0
359.99,1920.0,0,6.0,6.0,192.0,190.0,1860.0,3.0
449.99,2176.0,0,8.0,6.0,256.0,0,1710.0,3.0
949.99,2560.0,0,8.0,6.0,256.0,215.0,1830.0,3.0
119999.0,3072.0,0,8.0,6.0,256.0,250.0,1830.0,3.0
419.99,2304.0,0,8.0,6.0,256.0,175.0,1620.0,3.0
409.99,2176.0,0,8.0,6.0,256.0,184.0,1665.0,3.0
170.49,896.0,0,4.0,6.0,128.0,75.0,1620.0,2.0
154.99,896.0,0,4.0,5.0,128.0,85.0,1860.0,2.0
122999.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
439.99,2304.0,0,8.0,6.0,256.0,175.0,1620.0,3.0
470.99,2176.0,0,8.0,6.0,256.0,175.0,1650.0,3.0
477.44,2176.0,0,8.0,6.0,256.0,175.0,1650.0,3.0
319.99,1920.0,0,6.0,6.0,192.0,160.0,1755.0,3.0
748.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
169.99,0.0,0,4.0,6.0,128.0,100.0,1755.0,2.0
249.99,1408.0,0,6.0,6.0,192.0,125.0,0.0,2.0
419.99,2176.0,0,8.0,6.0,256.0,120.0,1710.0,3.0
940.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
719.99,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
159.99,896.0,0,4.0,6.0,128.0,85.0,1620.0,2.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1770.0,3.0
999.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
948.88,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
549.99,2560.0,0,8.0,6.0,256.0,215.0,1905.0,3.0
169.99,896.0,0,4.0,5.0,128.0,75.0,1785.0,2.0
149.99,896.0,0,4.0,5.0,128.0,75.0,1755.0,2.0
169.99,896.0,0,4.0,6.0,128.0,0,1740.0,2.0
229.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
419.99,2176.0,0,8.0,6.0,256.0,175.0,1650.0,3.0
229.99,1408.0,0,6.0,5.0,192.0,0,1830.0,2.0
159.99,896.0,0,4.0,5.0,128.0,0,1710.0,2.0
79.99,384.0,0,2.0,5.0,64.0,30.0,1506.0,2.0
84.99,384.0,0,2.0,5.0,64.0,30.0,1531.0,2.0
149.99,896.0,0,4.0,5.0,128.0,75.0,1710.0,2.0
44.99,192.0,0,1.0,5.0,32.0,20.0,954.0,1.0
214.99,1408.0,0,6.0,5.0,192.0,120.0,1845.0,2.0
379.99,1920.0,0,6.0,6.0,192.0,160.0,1755.0,3.0
529.99,2560.0,0,8.0,6.0,256.0,235.0,1785.0,3.0
159.99,896.0,0,4.0,6.0,128.0,85.0,1725.0,2.0
229.99,1408.0,0,6.0,6.0,192.0,120.0,1785.0,2.0
169.99,896.0,0,4.0,6.0,128.0,85.0,1635.0,2.0
539.99,2560.0,0,8.0,6.0,256.0,215.0,1770.0,3.0
189.99,1280.0,0,4.0,6.0,128.0,100.0,1755.0,2.0
209.99,1408.0,0,6.0,5.0,192.0,120.0,1830.0,2.0
229.99,1408.0,0,6.0,5.0,192.0,160.0,1785.0,2.0
629.99,2560.0,0,8.0,6.0,256.0,235.0,1815.0,3.0
169.99,896.0,0,4.0,6.0,128.0,85.0,1710.0,2.0
179.99,896.0,0,4.0,6.0,128.0,75.0,1710.0,2.0
239.99,1408.0,0,6.0,5.0,192.0,130.0,1830.0,2.0
369.99,1920.0,0,6.0,6.0,192.0,160.0,1755.0,3.0
159.99,896.0,0,4.0,6.0,128.0,85.0,1815.0,2.0
529.99,2560.0,0,8.0,6.0,256.0,215.0,1770.0,3.0
239.99,0.0,0,0,0,0,0,0.0,0.0
221.94,1408.0,0,6.0,5.0,192.0,130.0,1785.0,2.0
239.99,1408.0,0,6.0,5.0,192.0,130.0,1830.0,2.0
299.99,1536.0,0,6.0,6.0,192.0,130.0,1845.0,2.0
159.99,1280.0,0,4.0,6.0,128.0,100.0,1740.0,2.0
157.99,768.0,0,4.0,5.0,128.0,75.0,1392.0,2.0
159.99,768.0,0,4.0,5.0,128.0,75.0,1430.0,2.0
520.0,0.0,2816.0,6.0,5.0,384.0,260.0,1114.0,1.0
279.99,1536.0,0,6.0,6.0,192.0,130.0,1770.0,2.0
244.99,1408.0,0,6.0,6.0,192.0,125.0,1860.0,2.0
154.99,896.0,0,4.0,5.0,128.0,75.0,1740.0,2.0
169.99,896.0,0,4.0,5.0,128.0,85.0,1860.0,2.0
289.99,1536.0,0,6.0,6.0,192.0,130.0,1845.0,2.0
324.49,1536.0,0,6.0,6.0,192.0,120.0,1770.0,2.0
174.99,896.0,0,4.0,6.0,128.0,75.0,1620.0,2.0
88.99,0.0,0,2.0,5.0,64.0,30.0,1544.0,2.0
157.38,768.0,0,4.0,5.0,128.0,75.0,1455.0,2.0
169.99,1152.0,0,3.0,5.0,192.0,120.0,1708.0,2.0
314.99,1920.0,0,6.0,6.0,192.0,160.0,1710.0,3.0
89.99,384.0,0,2.0,5.0,64.0,30.0,0.0,2.0
179.99,1280.0,0,4.0,6.0,128.0,100.0,1725.0,2.0
54.99,192.0,0,2.0,3.0,64.0,20.0,954.0,1.0
84.97,384.0,0,2.0,4.0,64.0,20.0,1430.0,2.0
179.99,896.0,0,4.0,6.0,128.0,0,1650.0,2.0
89.99,0.0,0,2.0,5.0,64.0,50.0,1006.0,1.0
299.99,1536.0,0,6.0,6.0,192.0,120.0,1770.0,2.0
525.78,1920.0,0,6.0,6.0,192.0,160.0,1740.0,3.0
125000.0,3072.0,0,8.0,6.0,256.0,250.0,1860.0,3.0
472.44,2176.0,0,8.0,6.0,256.0,175.0,1680.0,3.0
89.99,192.0,0,2.0,5.0,64.0,0,954.0,1.0
257.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
499.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
719.99,2176.0,0,8.0,6.0,256.0,175.0,1695.0,3.0
784.99,2560.0,0,8.0,6.0,256.0,215.0,1770.0,3.0
117500.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
749.49,2176.0,0,8.0,6.0,256.0,175.0,1680.0,3.0
380.35,1920.0,0,6.0,6.0,192.0,160.0,1680.0,3.0
64.2,192.0,0,2.0,5.0,64.0,20.0,954.0,1.0
299.0,768.0,0,2.0,5.0,128.0,90.0,1317.0,1.0
170.49,896.0,0,4.0,6.0,128.0,75.0,1620.0,2.0
535.0,2816.0,0,6.0,5.0,384.0,260.0,1076.0,1.0
297.88,1536.0,0,6.0,6.0,192.0,120.0,1830.0,2.0
61.2,192.0,0,2.0,3.0,64.0,20.0,954.0,1.0
649.99,2176.0,0,8.0,6.0,256.0,215.0,1680.0,3.0
295.0,0.0,0,0,0,0,0,0.0,0.0
204.44,1280.0,0,4.0,6.0,128.0,100.0,1770.0,2.0
119.95,0.0,0,0,0,0,0,0.0,0.0
325.0,0.0,0,0,0,0,0,0.0,0.0
202.97,1280.0,0,4.0,6.0,128.0,100.0,1755.0,2.0
339.0,1152.0,0,3.0,5.0,192.0,120.0,1809.0,2.0
155.29,768.0,0,4.0,5.0,128.0,75.0,1392.0,2.0
849.0,3072.0,0,8.0,6.0,256.0,250.0,1860.0,3.0
349.99,2560.0,0,8.0,5.0,256.0,230.0,1822.0,2.0
453.5,1536.0,0,6.0,6.0,192.0,120.0,1800.0,2.0
399.0,0.0,0,0,0,0,0,0.0,0.0
180.49,896.0,0,4.0,5.0,128.0,85.0,1860.0,2.0
149.99,0.0,0,0,0,0,0,0.0,0.0
344.46,1408.0,0,6.0,5.0,192.0,120.0,1815.0,2.0
270.22,896.0,0,4.0,5.0,128.0,85.0,1710.0,2.0
186.61,1280.0,0,4.0,6.0,128.0,100.0,1770.0,2.0
97.18,384.0,0,2.0,5.0,64.0,30.0,1518.0,2.0
569.0,0.0,2816.0,6.0,5.0,384.0,260.0,1291.0,1.0
79.8,0.0,0,0,0,0,0,0.0,0.0
92.56,384.0,0,2.0,5.0,64.0,30.0,1468.0,2.0
264.8,896.0,0,4.0,5.0,128.0,75.0,1695.0,2.0
620.0,1920.0,0,8.0,5.0,256.0,150.0,1683.0,2.0
261.44,1408.0,0,6.0,6.0,192.0,125.0,1845.0,2.0
96.64,0.0,384.0,2.0,5.0,64.0,30.0,1506.0,2.0
449.0,1664.0,0,4.0,5.0,256.0,170.0,1228.0,1.0
255.44,1408.0,0,6.0,6.0,192.0,125.0,1785.0,2.0
177.99,0.0,0,0,0,0,0,0.0,0.0
176.0,896.0,0,4.0,5.0,128.0,75.0,1695.0,2.0
559.96,1920.0,0,6.0,6.0,192.0,160.0,1710.0,3.0
860.0,2560.0,0,8.0,0,256.0,0,0.0,0.0
445.0,0.0,0,0,0,0,0,0.0,0.0
440.0,0.0,0,0,0,0,0,0.0,0.0
489.0,1152.0,0,3.0,5.0,192.0,120.0,1506.0,2.0
249.99,1536.0,0,6.0,6.0,192.0,160.0,1845.0,2.0
489.0,0.0,0,0,0,0,0,0.0,0.0
51.94,0.0,0,0,0,0,0,0.0,0.0
439.99,0.0,0,0,0,0,0,0.0,0.0
399.0,0.0,0,0,0,0,0,0.0,0.0
93.74,0.0,0,0,0,0,0,0.0,0.0
368.0,1024.0,1024.0,4.0,5.0,128.0,120.0,1367.0,1.0
489.0,0.0,0,0,0,0,0,0.0,0.0
299.0,0.0,0,0,0,0,0,0.0,0.0
446.86,0.0,0,0,0,0,0,0.0,0.0
239.88,0.0,0,0,0,0,0,0.0,0.0
79.99,0.0,0,0,0,0,0,0.0,0.0
560.0,0.0,0,0,0,0,0,0.0,0.0
399.0,1024.0,1024.0,4.0,5.0,128.0,120.0,1367.0,1.0
